IP 주소,포트,프로토콜,웹서비스,서버 정보,스캔 시간
127.1.1.1,80,tcp,HTTP,Microsoft-IIS/10.0,2025-01-10 11:02:26
127.1.1.1,135,tcp,No,Unknown,2025-01-10 11:02:26
127.1.1.1,445,tcp,No,Unknown,2025-01-10 11:02:26
127.0.0.1,80,tcp,No,Unknown,2025-01-10 11:02:26
127.0.0.1,135,tcp,No,Unknown,2025-01-10 11:02:26
127.0.0.1,445,tcp,No,Unknown,2025-01-10 11:02:26
127.1.1.1,80,tcp,HTTP,Microsoft-IIS/10.0,2025-01-10 11:02:26
127.1.1.1,135,tcp,No,Unknown,2025-01-10 11:02:26
127.1.1.1,445,tcp,No,Unknown,2025-01-10 11:02:26
